Instagram,CNPJ,Contato,Razão Social / Nome de Registro,,,,,,,
Califit,26.519.120/0001-93,(92) 3643-2200,CALI ACADEMIA LTDA,CALI FIT ACADEMIA CACHOEIRINHA,URUCARA,1631,CACHOEIRINHA,MANAUS,AM,69065180
Smart Fit,07.594.978/0608-20,(92) 99121-6655,SMARTFIT ESCOLA DE GINASTICA E DANCA S.A,,VISCONDE DE PORTO SEGURO,14,FLORES,MANAUS,AM,69058090
Blue Fit,24.921.465/0083-90,(92) 99335-0010,BLUEFIT ACADEMIAS DE GINASTICA E PARTICIPACOES S.A.,,EPHIGENIO SALLES,1299,ALEIXO,MANAUS,AM,69060020
Wyden,02.153.389/0001-30,(92) 3345-0010,INSTITUTO DE ENSINO SUPERIOR DA AMAZONIA LTDA,FACULDADE MARTHA FALCAO,NATAL,10,ADRIANOPOLIS,MANAUS,AM,69057090
TV Lar Motos,14.024.658/0001-48,(92) 3212-5000,TVLAR COMERCIO DE MOTOS LTDA,TVLAR MOTOS,ITACOATIARA,449,CACHOEIRINHA,MANAUS,AM,69065090
CDL Laboratório,01.049.783/0001-60,(92) 3643-3400,LABORATORIO SANTOS E VIDAL LTDA,CENTRO DE DIAGNOSTICO LABORATORIAL,DJALMA BATISTA,1719,CHAPADA,MANAUS,AM,69050010
RB Diagnósticos,21.418.871/0003-61,(92) 3622-4040,RDB ANALISES CLINICAS LTDA,RB DIAGNOSTICOS,MARIO YPIRANGA,1300,ADRIANOPOLIS,MANAUS,AM,69057002
iFood,14.380.200/0001-21,(92) 3642-1200,IFOOD.COM AGENCIA DE RESTAURANTES ONLINE S.A.,,DOS AUTONOMISTAS 1496,1.496,VILA YARA,OSASCO,SP,06020902
Santo Remédio,84.521.053/0149-55,0800 591 2117,TAPAJOS COMERCIO DE MEDICAMENTOS LTDA,SANTO REMEDIO PARQUE DEZ II,JOAQUIM CURADO,239,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69055230
Baratão da Carne,06.710.613/0012-51,(92) 3303-3303,RUFINO COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,SUPERMERCADO BARATAO DA CARNE,GOVERNADOR JOSE LINDOSO,0,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69058175
Ulbra,88.332.580/0024-51,(92) 3615-5555,AELBRA EDUCACAO SUPERIOR - GRADUACAO E POS-GRADUACAO S.A.,CENTRO UNIVERSITARIO LUTERANO DE MANAUS - CEULM,CARLOS DRUMMOND DE ANDRADE,1460,JAPIIM,MANAUS,AM,69077730
Fac. Santa Teresa,06.201.403/0001-85,(92) 3616-2000,CENTRO DE ESTUDOS JURIDICOS DO AMAZONAS LTDA,FACULDADE SANTA TERESA,ACRE,200,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053130
Toya,00.782.033/0001-30,(92) 3302-4856,TOYA INDUSTRIA E COMERCIO LTDA,,HERMAN LIMA,471,COMPENSA,MANAUS,AM,69036400
Shop do Pé,02.458.527/0001-90,(92) 3211-1000,MAO DUPLA COMERCIO E REPRESENTACOES LTDA,SHOP DO PE,DJALMA BATISTA,482,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69050902
Fogás,04.563.672/0001-66,(92) 3233-6000,SOCIEDADE FOGAS LTDA,,RIO QUIXITO,86,VILA BURITI,MANAUS,AM,69072070
Cocil,04.386.041/0001-19,(92) 2125-9292,COCIL CONSTRUCOES CIVIS E INDUSTRIAIS LTDA,,PARA,66,SAO GERALDO,MANAUS,AM,69053070
Manauara Shopping,10.575.844/0001-14,(92) 3614-2222,CONDOMINIO MANAUARA SHOPPING,MANAUARA SHOPPING,MARIO YPIRANGA,1300,ADRIANOPOLIS,MANAUS,AM,69057002
Beny Lar e Const.,63.721.278/0001-78,(92) 3303-0000,BENY MATERIAIS DE CONSTRUCAO LTDA,,ALVARO MAIA,1449,ADRIANOPOLIS,MANAUS,AM,69057035
Castelinho Matcon,14.716.929/0001-26,(92) 3211-1200,ANDRE LUIGI COELHO DE OLIVEIRA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,CASTELINHO DISTRIBUIDORA,ARQUITETO JOSE HENRIQUES BENTO RODRIGUES,1747,SANTA ETELVINA,MANAUS,AM,69059800
XP Investimentos,02.332.886/0020-69,(92) 3090-8000,"XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S/A",XP INVESTIMENTOS CCTVM S/A,JORNALISTA UMBERTO CALDERARO FILHO,455,ADRIANOPOLIS,MANAUS,AM,69057015
Castelinho,Castelinho,(92) 3643-2200,CNPJ inválido,,,,,,,
